Datetime,Open,High,Low,Close,Adj Close,Volume
2023-03-20 15:55:00+00:00,27934.314453125,27954.158203125,27724.55078125,27724.55078125,27724.55078125,17399808
2023-03-20 16:00:00+00:00,27761.51171875,27774.724609375,27752.46484375,27774.724609375,27774.724609375,0
2023-03-20 16:05:00+00:00,27809.40625,27815.033203125,27704.748046875,27704.748046875,27704.748046875,19165184
2023-03-20 16:10:00+00:00,27692.423828125,27711.70703125,27601.4453125,27601.4453125,27601.4453125,21409792
2023-03-20 16:15:00+00:00,27649.888671875,27683.75,27649.888671875,27683.75,27683.75,31653888
2023-03-20 16:20:00+00:00,27599.943359375,27605.21875,27531.15234375,27605.21875,27605.21875,35344384
2023-03-20 16:25:00+00:00,27610.1171875,27630.23828125,27533.57421875,27630.23828125,27630.23828125,121589760
2023-03-20 16:30:00+00:00,27680.845703125,27733.21484375,27680.845703125,27714.6796875,27714.6796875,87633920
2023-03-20 16:35:00+00:00,27711.853515625,27711.853515625,27659.626953125,27659.626953125,27659.626953125,0
2023-03-20 16:40:00+00:00,27658.6953125,27658.6953125,27582.89453125,27639.349609375,27639.349609375,0
2023-03-20 16:45:00+00:00,27626.65625,27652.234375,27578.021484375,27652.234375,27652.234375,7979008
2023-03-20 16:50:00+00:00,27633.904296875,27668.251953125,27633.904296875,27666.904296875,27666.904296875,2949120
2023-03-20 16:55:00+00:00,27637.40625,27637.40625,27565.64453125,27631.197265625,27631.197265625,0
2023-03-20 17:00:00+00:00,27616.607421875,27625.66015625,27577.806640625,27625.66015625,27625.66015625,0
2023-03-20 17:05:00+00:00,27658.029296875,27716.107421875,27658.029296875,27716.107421875,27716.107421875,24514560
2023-03-20 17:10:00+00:00,27714.587890625,27745.509765625,27714.587890625,27745.509765625,27745.509765625,15708160
2023-03-20 17:15:00+00:00,27732.99609375,27791.0703125,27732.99609375,27742.66015625,27742.66015625,28225536
2023-03-20 17:20:00+00:00,27751.634765625,27751.634765625,27714.80859375,27717.107421875,27717.107421875,0
2023-03-20 17:25:00+00:00,27682.703125,27732.3125,27682.703125,27730.78125,27730.78125,14888960
2023-03-20 17:30:00+00:00,27726.625,27778.58984375,27719.189453125,27764.701171875,27764.701171875,15716352
2023-03-20 17:35:00+00:00,27720.576171875,27733.662109375,27688.482421875,27715.267578125,27715.267578125,6119424
2023-03-20 17:40:00+00:00,27712.515625,27746.64453125,27712.515625,27746.64453125,27746.64453125,0
2023-03-20 17:45:00+00:00,27758.228515625,27815.357421875,27758.228515625,27780.48046875,27780.48046875,26857472
2023-03-20 17:50:00+00:00,27800.74609375,27800.74609375,27750.42578125,27755.009765625,27755.009765625,0
2023-03-20 17:55:00+00:00,27729.6484375,27729.6484375,27685.279296875,27689.462890625,27689.462890625,0
2023-03-20 18:00:00+00:00,27677.99609375,27705.494140625,27630.658203125,27705.494140625,27705.494140625,6139904
2023-03-20 18:05:00+00:00,27698.091796875,27724.92578125,27650.5234375,27724.92578125,27724.92578125,38457344
2023-03-20 18:10:00+00:00,27712.783203125,27765.00390625,27712.783203125,27737.22265625,27737.22265625,67248128
2023-03-20 18:15:00+00:00,27753.619140625,27797.623046875,27745.4765625,27797.623046875,27797.623046875,28237824
2023-03-20 18:20:00+00:00,27808.857421875,27808.857421875,27764.30078125,27780.79296875,27780.79296875,10002432
2023-03-20 18:25:00+00:00,27790.96875,27831.34375,27784.05078125,27831.34375,27831.34375,33124352
2023-03-20 18:30:00+00:00,27857.671875,27980.82421875,27857.671875,27948.2578125,27948.2578125,171249664
2023-03-20 18:35:00+00:00,27955.80859375,27955.80859375,27923.2734375,27945.0078125,27945.0078125,7110656
2023-03-20 18:40:00+00:00,27973.537109375,28011.875,27955.484375,28011.875,28011.875,18100224
2023-03-20 18:45:00+00:00,28015.318359375,28046.34765625,27995.220703125,27995.220703125,27995.220703125,66846720
2023-03-20 18:50:00+00:00,28019.775390625,28060.388671875,28017.314453125,28017.314453125,28017.314453125,53280768
2023-03-20 18:55:00+00:00,27999.326171875,28038.083984375,27999.326171875,28016.349609375,28016.349609375,10510336
2023-03-20 19:00:00+00:00,28034.287109375,28046.13671875,27986.115234375,27986.115234375,27986.115234375,0
2023-03-20 19:05:00+00:00,27962.09375,27985.923828125,27962.09375,27966.21484375,27966.21484375,0
2023-03-20 19:10:00+00:00,27928.15625,27948.30078125,27924.4453125,27925.251953125,27925.251953125,0
2023-03-20 19:15:00+00:00,27928.037109375,27928.037109375,27830.77734375,27830.77734375,27830.77734375,0
2023-03-20 19:20:00+00:00,27843.853515625,27871.859375,27757.099609375,27757.099609375,27757.099609375,2531328
2023-03-20 19:25:00+00:00,27724.701171875,27784.83984375,27724.701171875,27756.119140625,27756.119140625,53841920
2023-03-20 19:30:00+00:00,27782.609375,27813.466796875,27782.609375,27808.57421875,27808.57421875,93552640
2023-03-20 19:35:00+00:00,27777.841796875,27811.20703125,27777.841796875,27805.52734375,27805.52734375,0
2023-03-20 19:40:00+00:00,27822.27734375,27833.10546875,27798.75,27833.10546875,27833.10546875,18841600
2023-03-20 19:45:00+00:00,27862.580078125,27866.74609375,27850.697265625,27850.697265625,27850.697265625,31903744
2023-03-20 19:50:00+00:00,27853.529296875,27873.33984375,27853.529296875,27873.33984375,27873.33984375,0
